LAST SEEN   TYPE      REASON                          OBJECT                                             MESSAGE
6m7s        Normal    Killing                         pod/adaptation-service-fc5f75457-xg9b8             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-xhtw6             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-xhtw6 to aks-icaptestnode-10971123-vmss00002n
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-xhtw6             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-xhtw6             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-xhtw6             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-xhtw6             Started container adaptation-service
6m5s        Warning   FailedMount                     pod/adaptation-service-fc5f75457-xhtw6             MountVolume.SetUp failed for volume "adaptation-service-sa-token-vhhsk" : secret "adaptation-service-sa-token-vhhsk" not found
6m5s        Normal    Killing                         pod/adaptation-service-fc5f75457-xhtw6             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-xjjgr             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-xjjgr to aks-icaptestnode-10971123-vmss00000h
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-xjjgr             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-xjjgr             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-xjjgr             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-xjjgr             Started container adaptation-service
6m6s        Normal    Killing                         pod/adaptation-service-fc5f75457-xjjgr             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-xkqrc             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-xkqrc to aks-icaptestnode-10971123-vmss000005
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-xkqrc             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-xkqrc             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-xkqrc             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-xkqrc             Started container adaptation-service
6m7s        Normal    Killing                         pod/adaptation-service-fc5f75457-xkqrc             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-xnshj             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-xnshj to aks-icaptestnode-10971123-vmss00000i
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-xnshj             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-xnshj             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-xnshj             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-xnshj             Started container adaptation-service
6m10s       Normal    Killing                         pod/adaptation-service-fc5f75457-xnshj             Stopping container adaptation-service
6m10s       Normal    Killing                         pod/adaptation-service-fc5f75457-z8qdt             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-zmh87             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-zmh87 to aks-icaptestnode-10971123-vmss000023
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-zmh87             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-zmh87             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-zmh87             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-zmh87             Started container adaptation-service
6m10s       Normal    Killing                         pod/adaptation-service-fc5f75457-zmh87             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-zskbp             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-zskbp to aks-icaptestnode-10971123-vmss00000m
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-zskbp             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-zskbp             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-zskbp             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-zskbp             Started container adaptation-service
6m8s        Normal    Killing                         pod/adaptation-service-fc5f75457-zskbp             Stopping container adaptation-service
21m         Normal    SuccessfulCreate                replicaset/adaptation-service-fc5f75457            Created pod: adaptation-service-fc5f75457-hpbkd
21m         Normal    SuccessfulCreate                replicaset/adaptation-service-fc5f75457            Created pod: adaptation-service-fc5f75457-xkqrc
21m         Normal    SuccessfulCreate                replicaset/adaptation-service-fc5f75457            Created pod: adaptation-service-fc5f75457-klpkt
21m         Normal    SuccessfulCreate                replicaset/adaptation-service-fc5f75457            Created pod: adaptation-service-fc5f75457-pqpqb
21m         Normal    SuccessfulCreate                replicaset/adaptation-service-fc5f75457            Created pod: adaptation-service-fc5f75457-r4r59
21m         Normal    SuccessfulCreate                replicaset/adaptation-service-fc5f75457            Created pod: adaptation-service-fc5f75457-ddtdr
21m         Normal    SuccessfulCreate                replicaset/adaptation-service-fc5f75457            Created pod: adaptation-service-fc5f75457-2vwzh
21m         Normal    SuccessfulCreate                replicaset/adaptation-service-fc5f75457            Created pod: adaptation-service-fc5f75457-jjpzc
21m         Normal    SuccessfulCreate                replicaset/adaptation-service-fc5f75457            (combined from similar events): Created pod: adaptation-service-fc5f75457-khdvn
3m54s       Normal    SuccessfulCreate                replicaset/adaptation-service-fc5f75457            Created pod: adaptation-service-fc5f75457-746cz
21m         Normal    ScalingReplicaSet               deployment/adaptation-service                      Scaled up replica set adaptation-service-fc5f75457 to 50
3m54s       Normal    ScalingReplicaSet               deployment/adaptation-service                      Scaled up replica set adaptation-service-fc5f75457 to 1
3m54s       Normal    Scheduled                       pod/archive-adaptation-service-7577fdf4d7-99wgh    Successfully assigned icap-adaptation/archive-adaptation-service-7577fdf4d7-99wgh to aks-icaptestnode-10971123-vmss000014
3m53s       Normal    Pulling                         pod/archive-adaptation-service-7577fdf4d7-99wgh    Pulling image "glasswallsolutions/archive-adaptation-service:main-928c171"
3m51s       Normal    Pulled                          pod/archive-adaptation-service-7577fdf4d7-99wgh    Successfully pulled image "glasswallsolutions/archive-adaptation-service:main-928c171"
3m51s       Normal    Created                         pod/archive-adaptation-service-7577fdf4d7-99wgh    Created container adaptation-service
3m51s       Normal    Started                         pod/archive-adaptation-service-7577fdf4d7-99wgh    Started container adaptation-service
6m21s       Normal    Killing                         pod/archive-adaptation-service-7577fdf4d7-mbd9k    Stopping container adaptation-service
3m54s       Normal    SuccessfulCreate                replicaset/archive-adaptation-service-7577fdf4d7   Created pod: archive-adaptation-service-7577fdf4d7-99wgh
3m54s       Normal    ScalingReplicaSet               deployment/archive-adaptation-service              Scaled up replica set archive-adaptation-service-7577fdf4d7 to 1
6m20s       Normal    Killing                         pod/event-submission-service-566746cddd-fl29z      Stopping container event-submission-service
3m54s       Normal    Scheduled                       pod/event-submission-service-566746cddd-jg9t2      Successfully assigned icap-adaptation/event-submission-service-566746cddd-jg9t2 to aks-icaptestnode-10971123-vmss000025
3m53s       Normal    Pulling                         pod/event-submission-service-566746cddd-jg9t2      Pulling image "glasswallsolutions/event-submission-service:main-685fa96"
3m52s       Normal    Pulled                          pod/event-submission-service-566746cddd-jg9t2      Successfully pulled image "glasswallsolutions/event-submission-service:main-685fa96"
3m51s       Normal    Created                         pod/event-submission-service-566746cddd-jg9t2      Created container event-submission-service
3m51s       Normal    Started                         pod/event-submission-service-566746cddd-jg9t2      Started container event-submission-service
3m54s       Normal    SuccessfulCreate                replicaset/event-submission-service-566746cddd     Created pod: event-submission-service-566746cddd-jg9t2
3m54s       Normal    ScalingReplicaSet               deployment/event-submission-service                Scaled up replica set event-submission-service-566746cddd to 1
10m         Normal    EnsuringLoadBalancer            service/frontend-icap-lb                           Ensuring load balancer
10m         Warning   CreateOrUpdatePublicIPAddress   service/frontend-icap-lb                           Retriable: false, RetryAfter: 0s, HTTPStatusCode: 400, RawError: Retriable: false, RetryAfter: 0s, HTTPStatusCode: 400, RawError: {
  "error": {
    "code": "DnsRecordInUse",
    "message": "DNS record icap-client.northeurope.cloudapp.azure.com is already used by another public IP.",
    "details": []
  }
}
40m         Warning   SyncLoadBalancerFailed          service/frontend-icap-lb                           Error syncing load balancer: failed to ensure load balancer: Retriable: false, RetryAfter: 0s, HTTPStatusCode: 400, RawError: Retriable: false, RetryAfter: 0s, HTTPStatusCode: 400, RawError: {
  "error": {
    "code": "DnsRecordInUse",
    "message": "DNS record icap-client.northeurope.cloudapp.azure.com is already used by another public IP.",
    "details": []
  }
}
21m         Warning   FailedToUpdateEndpointSlices    service/frontend-icap-lb                           Error updating Endpoint Slices for Service icap-adaptation/frontend-icap-lb: failed to update frontend-icap-lb-wd8qt EndpointSlice for Service icap-adaptation/frontend-icap-lb: Operation cannot be fulfilled on endpointslices.discovery.k8s.io "frontend-icap-lb-wd8qt": the object has been modified; please apply your changes to the latest version and try again
21m         Warning   FailedToUpdateEndpoint          endpoints/frontend-icap-lb                         Failed to update endpoint icap-adaptation/frontend-icap-lb: Operation cannot be fulfilled on endpoints "frontend-icap-lb": the object has been modified; please apply your changes to the latest version and try again
75s         Normal    EnsuringLoadBalancer            service/frontend-icap-lb                           Ensuring load balancer
75s         Warning   CreateOrUpdatePublicIPAddress   service/frontend-icap-lb                           Retriable: false, RetryAfter: 0s, HTTPStatusCode: 400, RawError: Retriable: false, RetryAfter: 0s, HTTPStatusCode: 400, RawError: {
  "error": {
    "code": "DnsRecordInUse",
    "message": "DNS record icap-client.northeurope.cloudapp.azure.com is already used by another public IP.",
    "details": []
  }
}
75s         Warning   SyncLoadBalancerFailed          service/frontend-icap-lb                           Error syncing load balancer: failed to ensure load balancer: Retriable: false, RetryAfter: 0s, HTTPStatusCode: 400, RawError: Retriable: false, RetryAfter: 0s, HTTPStatusCode: 400, RawError: {
  "error": {
    "code": "DnsRecordInUse",
    "message": "DNS record icap-client.northeurope.cloudapp.azure.com is already used by another public IP.",
    "details": []
  }
}
3m56s       Normal    ProvisioningSucceeded           persistentvolumeclaim/glasswallsource-pvc          Successfully provisioned volume pvc-cff2e110-d774-43be-80cc-a470e1eb5124 using kubernetes.io/azure-file
3m56s       Normal    ProvisioningSucceeded           persistentvolumeclaim/glasswalltarget-pvc          Successfully provisioned volume pvc-67b4b686-8d2a-4837-b7f9-2505c808c254 using kubernetes.io/azure-file
21m         Warning   FailedToUpdateEndpointSlices    service/icap-service                               Error updating Endpoint Slices for Service icap-adaptation/icap-service: failed to update icap-service-766kc EndpointSlice for Service icap-adaptation/icap-service: Operation cannot be fulfilled on endpointslices.discovery.k8s.io "icap-service-766kc": the object has been modified; please apply your changes to the latest version and try again
21m         Warning   FailedToUpdateEndpoint          endpoints/icap-service                             Failed to update endpoint icap-adaptation/icap-service: Operation cannot be fulfilled on endpoints "icap-service": the object has been modified; please apply your changes to the latest version and try again
21m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-27zff              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-27zff to aks-icaptestnode-10971123-vmss00000n
21m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-27zff              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-27zff              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Created                         pod/mvp-icap-service-5587bcd485-27zff              Created container mvp-icap-service
21m         Normal    Started                         pod/mvp-icap-service-5587bcd485-27zff              Started container mvp-icap-service
6m16s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-27zff              Stopping container mvp-icap-service
21m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-29htq              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-29htq to aks-icaptestnode-10971123-vmss000015
21m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-29htq              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-29htq              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Created                         pod/mvp-icap-service-5587bcd485-29htq              Created container mvp-icap-service
21m         Normal    Started                         pod/mvp-icap-service-5587bcd485-29htq              Started container mvp-icap-service
6m17s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-29htq              Stopping container mvp-icap-service
21m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-2qdkx              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-2qdkx to aks-icaptestnode-10971123-vmss00000r
21m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-2qdkx              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-2qdkx              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Created                         pod/mvp-icap-service-5587bcd485-2qdkx              Created container mvp-icap-service
21m         Normal    Started                         pod/mvp-icap-service-5587bcd485-2qdkx              Started container mvp-icap-service
6m16s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-2qdkx              Stopping container mvp-icap-service
37m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-2qfpz              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-2qfpz to aks-icaptestnode-10971123-vmss000000
35m         Warning   FailedMount                     pod/mvp-icap-service-5587bcd485-2qfpz              Unable to attach or mount volumes: unmounted volumes=[default-token-pnl56 source-vol target-vol tls-config-vol], unattached volumes=[default-token-pnl56 source-vol target-vol tls-config-vol]: timed out waiting for the condition
21m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-2v4n8              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-2v4n8 to aks-icaptestnode-10971123-vmss00002g
21m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-2v4n8              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-2v4n8              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Created                         pod/mvp-icap-service-5587bcd485-2v4n8              Created container mvp-icap-service
21m         Normal    Started                         pod/mvp-icap-service-5587bcd485-2v4n8              Started container mvp-icap-service
6m15s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-2v4n8              Stopping container mvp-icap-service
21m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-47k6f              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-47k6f to aks-icaptestnode-10971123-vmss00001h
21m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-47k6f              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-47k6f              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Created                         pod/mvp-icap-service-5587bcd485-47k6f              Created container mvp-icap-service
21m         Normal    Started                         pod/mvp-icap-service-5587bcd485-47k6f              Started container mvp-icap-service
6m16s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-47k6f              Stopping container mvp-icap-service
21m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-4d2b2              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-4d2b2 to aks-icaptestnode-10971123-vmss000010
21m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-4d2b2              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-4d2b2              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Created                         pod/mvp-icap-service-5587bcd485-4d2b2              Created container mvp-icap-service
21m         Normal    Started                         pod/mvp-icap-service-5587bcd485-4d2b2              Started container mvp-icap-service
6m16s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-4d2b2              Stopping container mvp-icap-service
21m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-4njbx              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-4njbx to aks-icaptestnode-10971123-vmss00001z
21m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-4njbx              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-4njbx              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Created                         pod/mvp-icap-service-5587bcd485-4njbx              Created container mvp-icap-service
21m         Normal    Started                         pod/mvp-icap-service-5587bcd485-4njbx              Started container mvp-icap-service
6m16s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-4njbx              Stopping container mvp-icap-service
21m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-4vzb5              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-4vzb5 to aks-icaptestnode-10971123-vmss00002e
21m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-4vzb5              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-4vzb5              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Created                         pod/mvp-icap-service-5587bcd485-4vzb5              Created container mvp-icap-service
21m         Normal    Started                         pod/mvp-icap-service-5587bcd485-4vzb5              Started container mvp-icap-service
6m19s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-4vzb5              Stopping container mvp-icap-service
21m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-5cb9z              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-5cb9z to aks-icaptestnode-10971123-vmss000014
21m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-5cb9z              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-5cb9z              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Created                         pod/mvp-icap-service-5587bcd485-5cb9z              Created container mvp-icap-service
21m         Normal    Started                         pod/mvp-icap-service-5587bcd485-5cb9z              Started container mvp-icap-service
6m13s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-5cb9z              Stopping container mvp-icap-service
21m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-5mfx2              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-5mfx2 to aks-icaptestnode-10971123-vmss00000p
21m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-5mfx2              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-5mfx2              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Created                         pod/mvp-icap-service-5587bcd485-5mfx2              Created container mvp-icap-service
21m         Normal    Started                         pod/mvp-icap-service-5587bcd485-5mfx2              Started container mvp-icap-service
6m19s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-5mfx2              Stopping container mvp-icap-service
33m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-5vw6j              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-5vw6j to aks-icaptestnode-10971123-vmss000000
33m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-5vw6j              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
33m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-5vw6j              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
33m         Normal    Created                         pod/mvp-icap-service-5587bcd485-5vw6j              Created container mvp-icap-service
33m         Normal    Started                         pod/mvp-icap-service-5587bcd485-5vw6j              Started container mvp-icap-service
6m19s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-5vw6j              Stopping container mvp-icap-service
21m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-6878z              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-6878z to aks-icaptestnode-10971123-vmss00001a
21m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-6878z              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-6878z              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Created                         pod/mvp-icap-service-5587bcd485-6878z              Created container mvp-icap-service
21m         Normal    Started                         pod/mvp-icap-service-5587bcd485-6878z              Started container mvp-icap-service
6m19s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-6878z              Stopping container mvp-icap-service
3m54s       Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-69n4p              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-69n4p to aks-icaptestnode-10971123-vmss00001b
3m53s       Normal    Pulled                          pod/mvp-icap-service-5587bcd485-69n4p              Container image "glasswallsolutions/mvp-icap-service:main-5e3bd61" already present on machine
3m53s       Normal    Created                         pod/mvp-icap-service-5587bcd485-69n4p              Created container mvp-icap-service
3m52s       Normal    Started                         pod/mvp-icap-service-5587bcd485-69n4p              Started container mvp-icap-service
21m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-6v79j              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-6v79j to aks-icaptestnode-10971123-vmss000021
21m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-6v79j              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-6v79j              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Created                         pod/mvp-icap-service-5587bcd485-6v79j              Created container mvp-icap-service
21m         Normal    Started                         pod/mvp-icap-service-5587bcd485-6v79j              Started container mvp-icap-service
6m13s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-6v79j              Stopping container mvp-icap-service
21m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-95bww              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-95bww to aks-icaptestnode-10971123-vmss00001c
21m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-95bww              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-95bww              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Created                         pod/mvp-icap-service-5587bcd485-95bww              Created container mvp-icap-service
21m         Normal    Started                         pod/mvp-icap-service-5587bcd485-95bww              Started container mvp-icap-service
6m18s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-95bww              Stopping container mvp-icap-service
21m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-99c6l              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-99c6l to aks-icaptestnode-10971123-vmss00002j
21m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-99c6l              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-99c6l              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Created                         pod/mvp-icap-service-5587bcd485-99c6l              Created container mvp-icap-service
21m         Normal    Started                         pod/mvp-icap-service-5587bcd485-99c6l              Started container mvp-icap-service
6m18s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-99c6l              Stopping container mvp-icap-service
21m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-99dsj              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-99dsj to aks-icaptestnode-10971123-vmss00001e
21m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-99dsj              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-99dsj              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Created                         pod/mvp-icap-service-5587bcd485-99dsj              Created container mvp-icap-service
21m         Normal    Started                         pod/mvp-icap-service-5587bcd485-99dsj              Started container mvp-icap-service
6m13s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-99dsj              Stopping container mvp-icap-service
6m19s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-b4nkp              Stopping container mvp-icap-service
21m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-bf5gk              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-bf5gk to aks-icaptestnode-10971123-vmss000007
21m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-bf5gk              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-bf5gk              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Created                         pod/mvp-icap-service-5587bcd485-bf5gk              Created container mvp-icap-service
21m         Normal    Started                         pod/mvp-icap-service-5587bcd485-bf5gk              Started container mvp-icap-service
6m18s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-bf5gk              Stopping container mvp-icap-service
21m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-cdflb              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-cdflb to aks-icaptestnode-10971123-vmss00002q
21m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-cdflb              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-cdflb              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Created                         pod/mvp-icap-service-5587bcd485-cdflb              Created container mvp-icap-service
21m         Normal    Started                         pod/mvp-icap-service-5587bcd485-cdflb              Started container mvp-icap-service
6m13s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-cdflb              Stopping container mvp-icap-service
21m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-cg68j              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-cg68j to aks-icaptestnode-10971123-vmss00002r
21m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-cg68j              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-cg68j              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Created                         pod/mvp-icap-service-5587bcd485-cg68j              Created container mvp-icap-service
21m         Normal    Started                         pod/mvp-icap-service-5587bcd485-cg68j              Started container mvp-icap-service
6m19s       Normal    Killing                         pod/mvp-icap-service-5587bcd485-cg68j              Stopping container mvp-icap-service
21m         Normal    Scheduled                       pod/mvp-icap-service-5587bcd485-chvpd              Successfully assigned icap-adaptation/mvp-icap-service-5587bcd485-chvpd to aks-icaptestnode-10971123-vmss000024
21m         Normal    Pulling                         pod/mvp-icap-service-5587bcd485-chvpd              Pulling image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
21m         Normal    Pulled                          pod/mvp-icap-service-5587bcd485-chvpd              Successfully pulled image "glasswallsolutions/mvp-icap-service:main-5e3bd61"
